Ref_Date,GEO,CLS,CAPACITY,Vector,Coordinate,Value
2013,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,922086.0
2014,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,1108877.0
2015,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,1206971.0
2006,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,89836132.0
2007,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,91340192.0
2008,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,91926780.0
2009,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,93760625.0
2010,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,93910766.0
2011,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,94070930.0
2012,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,..
2013,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,89708574.0
2014,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,90383919.0
2015,Canada,"Electricity producer, public electric utilities",Total installed capacity,v53517881,1.2.1,92088724.0
2006,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,63585857.0
2007,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,63987689.0
2008,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,64884193.0
2009,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,65381558.0
2010,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,65800952.0
2011,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,66816485.0
2012,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,..
2013,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,66945364.0
2014,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,69108759.0
2015,Canada,"Electricity producer, public electric utilities",Hydraulic turbine,v53517883,1.2.2,69673409.0
2006,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,188480.0
2007,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,206880.0
2008,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,208480.0
2009,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,208480.0
2010,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,653730.0
2011,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,633430.0
2012,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,..
2013,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,880030.0
2014,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,976430.0
2015,Canada,"Electricity producer, public electric utilities",Wind power turbine,v53517884,1.2.3,976280.0
2007,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,0.0
2008,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,..
2009,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,..
2010,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,108400.0
2011,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,58612.0
2012,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,..
2013,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,58612.0
2014,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,1000.0
2015,Canada,"Electricity producer, public electric utilities",Solar power turbine,v54259659,1.2.5,1970.0
2006,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,26061795.0
2007,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,27145623.0
2008,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,26834107.0
2009,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,28170587.0
2010,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,27347684.0
2011,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,26562403.0
2012,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,..
2013,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,21824568.0
2014,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,20297730.0
2015,Canada,"Electricity producer, public electric utilities",Total thermal,v53517885,1.2.6,21437065.0
2006,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,14895180.0
2007,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,15093430.0
2008,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,14900350.0
2009,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,15526450.0
2010,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,13794439.0
2011,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,13325739.0
2012,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,..
2013,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,9252729.0
2014,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,8764709.0
2015,Canada,"Electricity producer, public electric utilities",Conventional steam turbine,v53517886,1.2.7,8976569.0
2006,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,8335000.0
2007,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,8335000.0
2008,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,8335000.0
2009,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,7655000.0
2010,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,7655000.0
2011,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,8335000.0
2012,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,..
2013,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,7685000.0
2014,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,7685000.0
2015,Canada,"Electricity producer, public electric utilities",Nuclear steam turbine,v53517887,1.2.8,7685000.0
2006,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,2441170.0
2007,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,3354920.0
2008,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,3239908.0
2009,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,4635208.0
2010,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,5538650.0
2011,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,4547550.0
2012,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,..
2013,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,4531140.0
2014,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,3470110.0
2015,Canada,"Electricity producer, public electric utilities",Combustion turbine,v53517888,1.2.9,4366210.0
2006,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,390445.0
2007,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,362273.0
2008,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,358849.0
2009,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,353929.0
2010,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,359595.0
2011,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,354114.0
2012,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,..
2013,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,355699.0
2014,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,377911.0
2015,Canada,"Electricity producer, public electric utilities",Internal combustion turbine,v53517882,1.2.10,409286.0
2006,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,25104687.0
2007,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,24326765.0
2008,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,24758454.0
2009,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,27064708.0
2010,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,27705125.0
2011,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,27691677.0
2012,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,..
2013,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,31870040.0
2014,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,33452675.0
2015,Canada,"Electricity producer, private electric utilities",Total installed capacity,v53517889,1.3.1,33648250.0
2006,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4335621.0
2007,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4393724.0
2008,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4423728.0
2009,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4228410.0
2010,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4174777.0
2011,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,3500229.0
2012,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,..
2013,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4289494.0
2014,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4369274.0
2015,Canada,"Electricity producer, private electric utilities",Hydraulic turbine,v53517891,1.3.2,4289489.0
2006,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,1281419.0
2007,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,1562869.0
2008,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,1956529.0
2009,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,2754179.0
2010,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,3255229.0
2011,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,3779679.0
2012,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,..
2013,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,5836352.0
2014,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,6045352.0
2015,Canada,"Electricity producer, private electric utilities",Wind power turbine,v53517892,1.3.3,6654692.0
2006,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,3700.0
2007,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2008,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2009,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2010,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2011,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2012,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,..
2013,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2014,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2015,Canada,"Electricity producer, private electric utilities",Tidal power turbine,v53517893,1.3.4,20000.0
2010,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,..
2011,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,85000.0
2012,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,..
2013,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,103500.0
2014,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,191900.0
2015,Canada,"Electricity producer, private electric utilities",Solar power turbine,v105775408,1.3.5,191900.0
2006,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,19483947.0
2007,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,18350172.0
2008,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,18358197.0
2009,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,20062119.0
2010,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,20255119.0
2011,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,20306769.0
2012,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,..
2013,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,21620694.0
2014,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,22826149.0
2015,Canada,"Electricity producer, private electric utilities",Total thermal,v53517894,1.3.6,22492169.0
2006,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,8974393.0
2007,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,8996593.0
2008,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9169293.0
2009,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9681743.0
2010,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9759243.0
2011,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9476390.0
2012,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,..
2013,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9295665.0
2014,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9747915.0
2015,Canada,"Electricity producer, private electric utilities",Conventional steam turbine,v53517895,1.3.7,9329115.0
2006,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2007,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2008,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2009,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2010,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2011,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,5010000.0
2012,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,..
2013,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,6348000.0
2014,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,6348000.0
2015,Canada,"Electricity producer, private electric utilities",Nuclear steam turbine,v53517896,1.3.8,6348000.0
2006,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,5365863.0
2007,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,4217258.0
2008,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,4052758.0
2009,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,5225428.0
2010,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,5344528.0
2011,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,5679051.0
2012,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,..
2013,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,5727551.0
2014,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,6475501.0
2015,Canada,"Electricity producer, private electric utilities",Combustion turbine,v53517897,1.3.9,6529050.0
2006,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,133691.0
2007,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,126321.0
2008,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,126146.0
2009,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,144948.0
2010,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,141348.0
2011,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,141328.0
2012,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,..
2013,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,249478.0
2014,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,254733.0
2015,Canada,"Electricity producer, private electric utilities",Internal combustion turbine,v53517890,1.3.10,286004.0
2006,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8062585.0
2007,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8681295.0
2008,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8649185.0
2009,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8790700.0
2010,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8912591.0
2011,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,8909214.0
2012,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,..
2013,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,9314688.0
2014,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,9428685.0
2015,Canada,"Electricity producer, industries",Total installed capacity,v53517898,1.4.1,9531502.0
2006,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,4722640.0
2007,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5061560.0
2008,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5064060.0
2009,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5063170.0
2010,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5086770.0
2011,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5086770.0
2012,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,..
2013,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5285510.0
2014,Canada,"Electricity producer, industries",Hydraulic turbine,v53517900,1.4.2,5241483.0
